"category","cause","var","multiplier"
"pop","Chronic Lower Respiratory Diseases","drk",0.0125
"pop","Chronic Lower Respiratory Diseases","smk",0.115
"pop","Chronic Lower Respiratory Diseases","mpa",-0.00156
"pop","Chronic Lower Respiratory Diseases","hpa",-0.00313
"pop","Diabetes","drk",0
"pop","Diabetes","smk",0.0055
"pop","Diabetes","mpa",-0.00126
"pop","Diabetes","hpa",-0.00253
"pop","Drug Overdose","drk",0.05
"pop","Drug Overdose","smk",0.00342
"pop","Drug Overdose","mpa",-0.00166
"pop","Drug Overdose","hpa",-0.00333
"pop","Motor Vehicle Accident","drk",0.6
"pop","Motor Vehicle Accident","smk",0.0054
"pop","Motor Vehicle Accident","mpa",0
"pop","Motor Vehicle Accident","hpa",0
"pop","Fall","drk",0.02
"pop","Fall","smk",0.0071
"pop","Fall","mpa",-0.0014
"pop","Fall","hpa",-0.0028
"pop","Influenza and Pneumonia","drk",0.45
"pop","Influenza and Pneumonia","smk",0.0311
"pop","Influenza and Pneumonia","mpa",-0.000866
"pop","Influenza and Pneumonia","hpa",-0.00493
"pop","Kidney Diseases","drk",0
"pop","Kidney Diseases","smk",0.001
"pop","Kidney Diseases","mpa",-0.000666
"pop","Kidney Diseases","hpa",-0.00133
"pop","Suicide","drk",1
"pop","Suicide","smk",0.0083
"pop","Suicide","mpa",-0.0024
"pop","Suicide","hpa",-0.0048
"pop","Liver Diseases","drk",1
"pop","Liver Diseases","smk",0.0036
"pop","Liver Diseases","mpa",-0.00133
"pop","Liver Diseases","hpa",-0.00266
"pop","Septicemia","drk",0.025
"pop","Septicemia","smk",0.0133
"pop","Septicemia","mpa",-0.00156
"pop","Septicemia","hpa",-0.00313
