"category","cause","var","value","multiplier"
"age","Coronary Heart Diseases","sys","Normal (SBP <120 mmHG)",1
"age","Coronary Heart Diseases","sys","Elevated (SBP 120-129 mmHG)",0.984
"age","Coronary Heart Diseases","sys","High Blood Pressure Stage 1 (SBP 130-140 mmHG)",0.967
"age","Coronary Heart Diseases","sys","High Blood Pressure Stage 2 (SBP >140 mmHG)",0.934
"age","Coronary Heart Diseases","bmi","Underweight (<18.5)",0.942
"age","Coronary Heart Diseases","bmi","Normal Weight (18.5-24.9)",1
"age","Coronary Heart Diseases","bmi","Overweight (25-29.9)",0.975
"age","Coronary Heart Diseases","bmi","Obese (>30)",0.949
"age","Coronary Heart Diseases","hbp","Yes",1
"age","Coronary Heart Diseases","hbp","No",1
"age","Coronary Heart Diseases","hbc","Yes",1
"age","Coronary Heart Diseases","hbc","No",1
"age","Coronary Heart Diseases","cvd","Yes",1
"age","Coronary Heart Diseases","cvd","No",1
"age","Coronary Heart Diseases","copd","Yes",1
"age","Coronary Heart Diseases","copd","No",1
"age","Coronary Heart Diseases","dia","Yes",1
"age","Coronary Heart Diseases","dia","No",1
"age","Coronary Heart Diseases","dep","Yes",1
"age","Coronary Heart Diseases","dep","No",1
"age","Coronary Heart Diseases","can","Yes",1
"age","Coronary Heart Diseases","can","No",1
"age","Coronary Heart Diseases","alz","Yes",1
"age","Coronary Heart Diseases","alz","No",1
"age","Coronary Heart Diseases","fcvd","Yes",1
"age","Coronary Heart Diseases","fcvd","No",1
"age","Coronary Heart Diseases","fcopd","Yes",1
"age","Coronary Heart Diseases","fcopd","No",1
"age","Coronary Heart Diseases","fdia","Yes",1
"age","Coronary Heart Diseases","fdia","No",1
"age","Coronary Heart Diseases","fdep","Yes",1
"age","Coronary Heart Diseases","fdep","No",1
"age","Coronary Heart Diseases","fcan","Yes",1
"age","Coronary Heart Diseases","fcan","No",1
"age","Coronary Heart Diseases","falz","Yes",1
"age","Coronary Heart Diseases","falz","No",1
"age","Stroke","sex","Male",0.965
"age","Stroke","sex","Female",1.035
"age","Stroke","race","White",1
"age","Stroke","race","Black",0.93
"age","Stroke","race","Asian",1.1
"age","Stroke","race","Native American",0.85
"age","Stroke","race","Other",1
"age","Stroke","wbr","East Asia & Pacific",1.035
"age","Stroke","wbr","Europe & Central Asia",1.065
"age","Stroke","wbr","Latin America & Caribbean",1.022
"age","Stroke","wbr","Middle East & North Africa",1.007
"age","Stroke","wbr","North America",1.078
"age","Stroke","wbr","South Asia",0.96
"age","Stroke","wbr","Sub-Saharan Africa",0.834
"age","Stroke","inc","Poor",0.975
"age","Stroke","inc","Lower-middle",1
"age","Stroke","inc","Middle",1
"age","Stroke","inc","Upper-middle",1
"age","Stroke","inc","Rich",1
"age","Stroke","edu","No Formal Schooling",0.964
"age","Stroke","edu","Primary Education (Elementary School)",0.982
"age","Stroke","edu","Secondary Education (High School)",1
"age","Stroke","edu","Tertiary Education (Bachelor's degree, Professional, Occupational, Technical or Vocational program",1.018
"age","Stroke","edu","Master's degree",1.036
"age","Stroke","edu","Doctoral degree",1.054
"age","Stroke","hsd","0",0.65
"age","Stroke","hsd","1",0.7
"age","Stroke","hsd","2",0.75
"age","Stroke","hsd","3",0.8
"age","Stroke","hsd","4",0.85
"age","Stroke","hsd","5",0.9
"age","Stroke","hsd","6",0.95
"age","Stroke","hsd","7",1
"age","Stroke","hsd","8",0.98
"age","Stroke","hsd","9",0.85
"age","Stroke","hsd","10",0.8
"age","Stroke","hsd","11",0.75
"age","Stroke","hsd","12",0.7
"age","Stroke","hsd","13",0.65
"age","Stroke","hsd","14",0.6
"age","Stroke","hsd","15",0.55
"age","Stroke","hsd","16",0.5
"age","Stroke","hsd","17",0.5
"age","Stroke","hsd","18",0.5
"age","Stroke","hsd","19",0.5
"age","Stroke","hsd","20",0.5
"age","Stroke","hsd","21",0.5
"age","Stroke","hsd","22",0.5
"age","Stroke","hsd","23",0.5
"age","Stroke","hsd","24",0.5
"age","Stroke","sys","Normal (SBP <120 mmHG)",1
"age","Stroke","sys","Elevated (SBP 120-129 mmHG)",0.982
"age","Stroke","sys","High Blood Pressure Stage 1 (SBP 130-140 mmHG)",0.958
"age","Stroke","sys","High Blood Pressure Stage 2 (SBP >140 mmHG)",0.907
"age","Stroke","bmi","Underweight (<18.5)",0.942
"age","Stroke","bmi","Normal Weight (18.5-24.9)",1
"age","Stroke","bmi","Overweight (25-29.9)",0.978
"age","Stroke","bmi","Obese (>30)",0.931
"age","Stroke","hbp","Yes",1
"age","Stroke","hbp","No",1
"age","Stroke","hbc","Yes",1
"age","Stroke","hbc","No",1
"age","Stroke","cvd","Yes",1
"age","Stroke","cvd","No",1
"age","Stroke","copd","Yes",1
"age","Stroke","copd","No",1
"age","Stroke","dia","Yes",1
"age","Stroke","dia","No",1
"age","Stroke","dep","Yes",1
"age","Stroke","dep","No",1
"age","Stroke","can","Yes",1
"age","Stroke","can","No",1
"age","Stroke","alz","Yes",1
"age","Stroke","alz","No",1
"age","Stroke","fcvd","Yes",1
"age","Stroke","fcvd","No",1
"age","Stroke","fcopd","Yes",1
"age","Stroke","fcopd","No",1
"age","Stroke","fdia","Yes",1
"age","Stroke","fdia","No",1
"age","Stroke","fdep","Yes",1
"age","Stroke","fdep","No",1
"age","Stroke","fcan","Yes",1
"age","Stroke","fcan","No",1
"age","Stroke","falz","Yes",1
"age","Stroke","falz","No",1
"age","Cancer","sex","Male",0.923
"age","Cancer","sex","Female",1.077
"age","Cancer","race","White",1
"age","Cancer","race","Black",0.93
"age","Cancer","race","Asian",1.1
"age","Cancer","race","Native American",0.85
"age","Cancer","race","Other",1
"age","Cancer","wbr","East Asia & Pacific",1.035
"age","Cancer","wbr","Europe & Central Asia",1.065
"age","Cancer","wbr","Latin America & Caribbean",1.022
"age","Cancer","wbr","Middle East & North Africa",1.007
"age","Cancer","wbr","North America",1.078
"age","Cancer","wbr","South Asia",0.96
"age","Cancer","wbr","Sub-Saharan Africa",0.834
"age","Cancer","inc","Poor",0.975
"age","Cancer","inc","Lower-middle",1
"age","Cancer","inc","Middle",1
"age","Cancer","inc","Upper-middle",1
"age","Cancer","inc","Rich",1
"age","Cancer","edu","No Formal Schooling",0.964
"age","Cancer","edu","Primary Education (Elementary School)",0.982
"age","Cancer","edu","Secondary Education (High School)",1
"age","Cancer","edu","Tertiary Education (Bachelor's degree, Professional, Occupational, Technical or Vocational program",1.018
"age","Cancer","edu","Master's degree",1.036
"age","Cancer","edu","Doctoral degree",1.054
"age","Cancer","hsd","0",0.65
"age","Cancer","hsd","1",0.83
"age","Cancer","hsd","2",0.86
"age","Cancer","hsd","3",0.89
"age","Cancer","hsd","4",0.92
"age","Cancer","hsd","5",0.95
"age","Cancer","hsd","6",0.98
"age","Cancer","hsd","7",1
"age","Cancer","hsd","8",0.98
"age","Cancer","hsd","9",0.95
"age","Cancer","hsd","10",0.92
"age","Cancer","hsd","11",0.89
"age","Cancer","hsd","12",0.86
"age","Cancer","hsd","13",0.83
"age","Cancer","hsd","14",0.8
"age","Cancer","hsd","15",0.77
"age","Cancer","hsd","16",0.74
"age","Cancer","hsd","17",0.74
"age","Cancer","hsd","18",0.74
"age","Cancer","hsd","19",0.74
"age","Cancer","hsd","20",0.74
"age","Cancer","hsd","21",0.74
"age","Cancer","hsd","22",0.74
"age","Cancer","hsd","23",0.74
"age","Cancer","hsd","24",0.74
"age","Cancer","sys","Normal (SBP <120 mmHG)",1
"age","Cancer","sys","Elevated (SBP 120-129 mmHG)",0.985
"age","Cancer","sys","High Blood Pressure Stage 1 (SBP 130-140 mmHG)",0.97
"age","Cancer","sys","High Blood Pressure Stage 2 (SBP >140 mmHG)",0.944
"age","Cancer","bmi","Underweight (<18.5)",0.937
"age","Cancer","bmi","Normal Weight (18.5-24.9)",1
"age","Cancer","bmi","Overweight (25-29.9)",0.978
"age","Cancer","bmi","Obese (>30)",0.96
"age","Cancer","hbp","Yes",1
"age","Cancer","hbp","No",1
"age","Cancer","hbc","Yes",1
"age","Cancer","hbc","No",1
"age","Cancer","cvd","Yes",1
"age","Cancer","cvd","No",1
"age","Cancer","copd","Yes",1
"age","Cancer","copd","No",1
"age","Cancer","dia","Yes",1
"age","Cancer","dia","No",1
"age","Cancer","dep","Yes",1
"age","Cancer","dep","No",1
"age","Cancer","can","Yes",1
"age","Cancer","can","No",1
"age","Cancer","alz","Yes",1
"age","Cancer","alz","No",1
"age","Cancer","fcvd","Yes",1
"age","Cancer","fcvd","No",1
"age","Cancer","fcopd","Yes",1
"age","Cancer","fcopd","No",1
"age","Cancer","fdia","Yes",1
"age","Cancer","fdia","No",1
"age","Cancer","fdep","Yes",1
"age","Cancer","fdep","No",1
"age","Cancer","fcan","Yes",1
"age","Cancer","fcan","No",1
"age","Cancer","falz","Yes",1
"age","Cancer","falz","No",1
"age","COVID-19","sex","Male",0.997
"age","COVID-19","sex","Female",1.038
"age","COVID-19","race","White",1
"age","COVID-19","race","Black",1
"age","COVID-19","race","Asian",1
"age","COVID-19","race","Native American",1
"age","COVID-19","race","Other",1
"age","COVID-19","wbr","East Asia & Pacific",1.035
"age","COVID-19","wbr","Europe & Central Asia",1.065
"age","COVID-19","wbr","Latin America & Caribbean",1.022
"age","COVID-19","wbr","Middle East & North Africa",1.007
"age","COVID-19","wbr","North America",1.078
"age","COVID-19","wbr","South Asia",0.96
"age","COVID-19","wbr","Sub-Saharan Africa",0.834
"age","COVID-19","inc","Poor",0.975
"age","COVID-19","inc","Lower-middle",1
"age","COVID-19","inc","Middle",1
"age","COVID-19","inc","Upper-middle",1
"age","COVID-19","inc","Rich",1
"age","COVID-19","edu","No Formal Schooling",0.964
"age","COVID-19","edu","Primary Education (Elementary School)",0.982
"age","COVID-19","edu","Secondary Education (High School)",1
"age","COVID-19","edu","Tertiary Education (Bachelor's degree, Professional, Occupational, Technical or Vocational program",1.018
"age","COVID-19","edu","Master's degree",1.036
"age","COVID-19","edu","Doctoral degree",1.054
"age","COVID-19","hsd","0",0.65
"age","COVID-19","hsd","1",0.83
"age","COVID-19","hsd","2",0.86
"age","COVID-19","hsd","3",0.89
"age","COVID-19","hsd","4",0.92
"age","COVID-19","hsd","5",0.95
"age","COVID-19","hsd","6",0.98
"age","COVID-19","hsd","7",1
"age","COVID-19","hsd","8",0.98
"age","COVID-19","hsd","9",0.95
"age","COVID-19","hsd","10",0.92
"age","COVID-19","hsd","11",0.89
"age","COVID-19","hsd","12",0.86
"age","COVID-19","hsd","13",0.83
"age","COVID-19","hsd","14",0.8
"age","COVID-19","hsd","15",0.77
"age","COVID-19","hsd","16",0.74
"age","COVID-19","hsd","17",0.74
"age","COVID-19","hsd","18",0.74
"age","COVID-19","hsd","19",0.74
"age","COVID-19","hsd","20",0.74
"age","COVID-19","hsd","21",0.74
"age","COVID-19","hsd","22",0.74
"age","COVID-19","hsd","23",0.74
"age","COVID-19","hsd","24",0.74
"age","COVID-19","sys","Normal (SBP <120 mmHG)",1
"age","COVID-19","sys","Elevated (SBP 120-129 mmHG)",0.985
"age","COVID-19","sys","High Blood Pressure Stage 1 (SBP 130-140 mmHG)",0.97
"age","COVID-19","sys","High Blood Pressure Stage 2 (SBP >140 mmHG)",0.942
"age","COVID-19","bmi","Underweight (<18.5)",0.926
"age","COVID-19","bmi","Normal Weight (18.5-24.9)",1
"age","COVID-19","bmi","Overweight (25-29.9)",0.977
"age","COVID-19","bmi","Obese (>30)",0.953
"age","COVID-19","hbp","Yes",1
"age","COVID-19","hbp","No",1
"age","COVID-19","hbc","Yes",1
"age","COVID-19","hbc","No",1
"age","COVID-19","cvd","Yes",1
"age","COVID-19","cvd","No",1
"age","COVID-19","copd","Yes",1
"age","COVID-19","copd","No",1
"age","COVID-19","dia","Yes",1
"age","COVID-19","dia","No",1
"age","COVID-19","dep","Yes",1
"age","COVID-19","dep","No",1
"age","COVID-19","can","Yes",1
"age","COVID-19","can","No",1
"age","COVID-19","alz","Yes",1
"age","COVID-19","alz","No",1
"age","COVID-19","fcvd","Yes",1
"age","COVID-19","fcvd","No",1
"age","COVID-19","fcopd","Yes",1
"age","COVID-19","fcopd","No",1
"age","COVID-19","fdia","Yes",1
"age","COVID-19","fdia","No",1
"age","COVID-19","fdep","Yes",1
"age","COVID-19","fdep","No",1
"age","COVID-19","fcan","Yes",1
"age","COVID-19","fcan","No",1
"age","COVID-19","falz","Yes",1
"age","COVID-19","falz","No",1
"age","Alzheimer’s Disease","sex","Male",0.974
"age","Alzheimer’s Disease","sex","Female",1.026
"age","Alzheimer’s Disease","race","White",1
"age","Alzheimer’s Disease","race","Black",0.93
"age","Alzheimer’s Disease","race","Asian",1.1
"age","Alzheimer’s Disease","race","Native American",0.85
"age","Alzheimer’s Disease","race","Other",1
"age","Alzheimer’s Disease","wbr","East Asia & Pacific",1.035
"age","Alzheimer’s Disease","wbr","Europe & Central Asia",1.065
"age","Alzheimer’s Disease","wbr","Latin America & Caribbean",1.022
"age","Alzheimer’s Disease","wbr","Middle East & North Africa",1.007
"age","Alzheimer’s Disease","wbr","North America",1.078
"age","Alzheimer’s Disease","wbr","South Asia",0.96
"age","Alzheimer’s Disease","wbr","Sub-Saharan Africa",0.834
"age","Alzheimer’s Disease","inc","Poor",0.975
"age","Alzheimer’s Disease","inc","Lower-middle",1
"age","Alzheimer’s Disease","inc","Middle",1
"age","Alzheimer’s Disease","inc","Upper-middle",1
"age","Alzheimer’s Disease","inc","Rich",1
"age","Alzheimer’s Disease","edu","No Formal Schooling",0.964
"age","Alzheimer’s Disease","edu","Primary Education (Elementary School)",0.982
"age","Alzheimer’s Disease","edu","Secondary Education (High School)",1
"age","Alzheimer’s Disease","edu","Tertiary Education (Bachelor's degree, Professional, Occupational, Technical or Vocational program",1.018
"age","Alzheimer’s Disease","edu","Master's degree",1.036
"age","Alzheimer’s Disease","edu","Doctoral degree",1.054
"age","Alzheimer’s Disease","hsd","0",0.65
"age","Alzheimer’s Disease","hsd","1",0.83
"age","Alzheimer’s Disease","hsd","2",0.86
"age","Alzheimer’s Disease","hsd","3",0.89
"age","Alzheimer’s Disease","hsd","4",0.92
"age","Alzheimer’s Disease","hsd","5",0.95
"age","Alzheimer’s Disease","hsd","6",0.98
"age","Alzheimer’s Disease","hsd","7",1
"age","Alzheimer’s Disease","hsd","8",0.98
"age","Alzheimer’s Disease","hsd","9",0.95
"age","Alzheimer’s Disease","hsd","10",0.92
"age","Alzheimer’s Disease","hsd","11",0.89
"age","Alzheimer’s Disease","hsd","12",0.86
"age","Alzheimer’s Disease","hsd","13",0.83
"age","Alzheimer’s Disease","hsd","14",0.8
"age","Alzheimer’s Disease","hsd","15",0.77
"age","Alzheimer’s Disease","hsd","16",0.74
"age","Alzheimer’s Disease","hsd","17",0.74
"age","Alzheimer’s Disease","hsd","18",0.74
"age","Alzheimer’s Disease","hsd","19",0.74
"age","Alzheimer’s Disease","hsd","20",0.74
"age","Alzheimer’s Disease","hsd","21",0.74
"age","Alzheimer’s Disease","hsd","22",0.74
"age","Alzheimer’s Disease","hsd","23",0.74
"age","Alzheimer’s Disease","hsd","24",0.74
"age","Alzheimer’s Disease","sys","Normal (SBP <120 mmHG)",1
"age","Alzheimer’s Disease","sys","Elevated (SBP 120-129 mmHG)",1
"age","Alzheimer’s Disease","sys","High Blood Pressure Stage 1 (SBP 130-140 mmHG)",1
"age","Alzheimer’s Disease","sys","High Blood Pressure Stage 2 (SBP >140 mmHG)",1
"age","Alzheimer’s Disease","bmi","Underweight (<18.5)",1
"age","Alzheimer’s Disease","bmi","Normal Weight (18.5-24.9)",1
"age","Alzheimer’s Disease","bmi","Overweight (25-29.9)",1
"age","Alzheimer’s Disease","bmi","Obese (>30)",1
"age","Alzheimer’s Disease","hbp","Yes",1
"age","Alzheimer’s Disease","hbp","No",1
"age","Alzheimer’s Disease","hbc","Yes",1
"age","Alzheimer’s Disease","hbc","No",1
"age","Alzheimer’s Disease","cvd","Yes",1
"age","Alzheimer’s Disease","cvd","No",1
"age","Alzheimer’s Disease","copd","Yes",1
"age","Alzheimer’s Disease","copd","No",1
"age","Alzheimer’s Disease","dia","Yes",1
"age","Alzheimer’s Disease","dia","No",1
"age","Alzheimer’s Disease","dep","Yes",1
"age","Alzheimer’s Disease","dep","No",1
"age","Alzheimer’s Disease","can","Yes",1
"age","Alzheimer’s Disease","can","No",1
"age","Alzheimer’s Disease","alz","Yes",1
"age","Alzheimer’s Disease","alz","No",1
"age","Alzheimer’s Disease","fcvd","Yes",1
"age","Alzheimer’s Disease","fcvd","No",1
"age","Alzheimer’s Disease","fcopd","Yes",1
"age","Alzheimer’s Disease","fcopd","No",1
"age","Alzheimer’s Disease","fdia","Yes",1
"age","Alzheimer’s Disease","fdia","No",1
"age","Alzheimer’s Disease","fdep","Yes",1
"age","Alzheimer’s Disease","fdep","No",1
"age","Alzheimer’s Disease","fcan","Yes",1
"age","Alzheimer’s Disease","fcan","No",1
"age","Alzheimer’s Disease","falz","Yes",1
"age","Alzheimer’s Disease","falz","No",1
"age","Chronic Lower Respiratory Diseases","sex","Male",1
"age","Chronic Lower Respiratory Diseases","sex","Female",1
"age","Chronic Lower Respiratory Diseases","race","White",1
"age","Chronic Lower Respiratory Diseases","race","Black",0.93
"age","Chronic Lower Respiratory Diseases","race","Asian",1.1
"age","Chronic Lower Respiratory Diseases","race","Native American",0.85
"age","Chronic Lower Respiratory Diseases","race","Other",1
"age","Chronic Lower Respiratory Diseases","wbr","East Asia & Pacific",1.035
"age","Chronic Lower Respiratory Diseases","wbr","Europe & Central Asia",1.065
"age","Chronic Lower Respiratory Diseases","wbr","Latin America & Caribbean",1.022
"age","Chronic Lower Respiratory Diseases","wbr","Middle East & North Africa",1.007
"age","Chronic Lower Respiratory Diseases","wbr","North America",1.078
"age","Chronic Lower Respiratory Diseases","wbr","South Asia",0.96
"age","Chronic Lower Respiratory Diseases","wbr","Sub-Saharan Africa",0.834
"age","Chronic Lower Respiratory Diseases","inc","Poor",0.975
"age","Chronic Lower Respiratory Diseases","inc","Lower-middle",1
"age","Chronic Lower Respiratory Diseases","inc","Middle",1
"age","Chronic Lower Respiratory Diseases","inc","Upper-middle",1
"age","Chronic Lower Respiratory Diseases","inc","Rich",1
"age","Chronic Lower Respiratory Diseases","edu","No Formal Schooling",0.964
"age","Chronic Lower Respiratory Diseases","edu","Primary Education (Elementary School)",0.982
"age","Chronic Lower Respiratory Diseases","edu","Secondary Education (High School)",1
"age","Chronic Lower Respiratory Diseases","edu","Tertiary Education (Bachelor's degree, Professional, Occupational, Technical or Vocational program",1.018
"age","Chronic Lower Respiratory Diseases","edu","Master's degree",1.036
"age","Chronic Lower Respiratory Diseases","edu","Doctoral degree",1.054
"age","Chronic Lower Respiratory Diseases","hsd","0",0.65
"age","Chronic Lower Respiratory Diseases","hsd","1",0.83
"age","Chronic Lower Respiratory Diseases","hsd","2",0.86
"age","Chronic Lower Respiratory Diseases","hsd","3",0.89
"age","Chronic Lower Respiratory Diseases","hsd","4",0.92
"age","Chronic Lower Respiratory Diseases","hsd","5",0.95
"age","Chronic Lower Respiratory Diseases","hsd","6",0.98
"age","Chronic Lower Respiratory Diseases","hsd","7",1
"age","Chronic Lower Respiratory Diseases","hsd","8",0.98
"age","Chronic Lower Respiratory Diseases","hsd","9",0.95
"age","Chronic Lower Respiratory Diseases","hsd","10",0.92
"age","Chronic Lower Respiratory Diseases","hsd","11",0.89
"age","Chronic Lower Respiratory Diseases","hsd","12",0.86
"age","Chronic Lower Respiratory Diseases","hsd","13",0.83
"age","Chronic Lower Respiratory Diseases","hsd","14",0.8
"age","Chronic Lower Respiratory Diseases","hsd","15",0.77
"age","Chronic Lower Respiratory Diseases","hsd","16",0.74
"age","Chronic Lower Respiratory Diseases","hsd","17",0.74
"age","Chronic Lower Respiratory Diseases","hsd","18",0.74
"age","Chronic Lower Respiratory Diseases","hsd","19",0.74
"age","Chronic Lower Respiratory Diseases","hsd","20",0.74
"age","Chronic Lower Respiratory Diseases","hsd","21",0.74
"age","Chronic Lower Respiratory Diseases","hsd","22",0.74
"age","Chronic Lower Respiratory Diseases","hsd","23",0.74
"age","Chronic Lower Respiratory Diseases","hsd","24",0.74
"age","Chronic Lower Respiratory Diseases","sys","Normal (SBP <120 mmHG)",1
"age","Chronic Lower Respiratory Diseases","sys","Elevated (SBP 120-129 mmHG)",0.985
